epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
131,41680,0.054,0.005,0.163,0.592,0.315,0.099,0.195,0.316,0.277,0.096,0.081
132,41696,0.053,0.004,0.164,0.451,0.33,0.094,0.142,0.368,0.263,0.109,0.117
133,41712,0.054,0.003,0.176,0.534,0.277,0.078,0.215,0.478,0.222,0.103,0.089
134,41728,0.054,0.004,0.192,0.355,0.281,0.086,0.214,0.32,0.236,0.118,0.195
135,41744,0.048,0.003,0.129,0.425,0.331,0.105,0.195,0.322,0.283,0.115,0.077
136,41760,0.049,0.004,0.12,0.413,0.305,0.088,0.156,0.411,0.258,0.078,0.064
137,41776,0.054,0.003,0.116,0.454,0.225,0.063,0.139,0.481,0.177,0.073,0.098
138,41792,0.05,0.004,0.149,0.499,0.296,0.092,0.166,0.362,0.246,0.116,0.068
139,41808,0.059,0.006,0.14,0.529,0.241,0.07,0.189,0.4,0.203,0.084,0.088
140,41824,0.049,0.003,0.164,0.525,0.319,0.073,0.175,0.431,0.225,0.157,0.129
141,41840,0.049,0.003,0.175,0.446,0.264,0.071,0.204,0.431,0.225,0.138,0.166
142,41856,0.055,0.003,0.161,0.466,0.351,0.099,0.185,0.379,0.291,0.091,0.093
143,41872,0.05,0.003,0.163,0.5,0.302,0.083,0.161,0.385,0.236,0.113,0.115
144,41888,0.054,0.005,0.186,0.451,0.282,0.064,0.185,0.507,0.205,0.166,0.196
145,41904,0.05,0.003,0.203,0.424,0.282,0.069,0.216,0.442,0.214,0.145,0.173
146,41920,0.05,0.004,0.155,0.475,0.318,0.088,0.179,0.343,0.236,0.135,0.17
147,41936,0.057,0.003,0.165,0.47,0.235,0.057,0.205,0.489,0.167,0.157,0.249
148,41952,0.056,0.003,0.166,0.47,0.277,0.092,0.189,0.344,0.265,0.082,0.086
149,41968,0.057,0.003,0.132,0.43,0.257,0.072,0.186,0.417,0.211,0.093,0.082
150,41984,0.048,0.003,0.174,0.497,0.289,0.076,0.205,0.355,0.25,0.1,0.111
151,41600,0.059,0.004,0.149,0.45,0.28,0.076,0.194,0.392,0.219,0.071,0.07
152,41616,0.056,0.003,0.189,0.377,0.241,0.079,0.218,0.324,0.217,0.128,0.116
153,41632,0.062,0.004,0.177,0.383,0.397,0.125,0.218,0.343,0.327,0.084,0.111
154,41648,0.062,0.003,0.11,0.473,0.329,0.083,0.141,0.388,0.243,0.114,0.108
155,41664,0.053,0.004,0.134,0.536,0.291,0.079,0.196,0.427,0.239,0.11,0.115
156,41680,0.053,0.004,0.161,0.535,0.302,0.074,0.174,0.514,0.215,0.12,0.158
157,41696,0.059,0.004,0.133,0.507,0.3,0.097,0.193,0.402,0.266,0.094,0.103
158,41712,0.051,0.004,0.167,0.507,0.312,0.084,0.147,0.402,0.24,0.111,0.157
