epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
3,6432,0.031,0.003,0.257,0.254,0.424,0.188,0.257,0.266,0.381,0.112,0.269
3,6832,0.035,0.002,0.257,0.257,0.459,0.244,0.254,0.268,0.492,0.121,0.63
3,7232,0.036,0.003,0.252,0.251,0.398,0.164,0.251,0.248,0.355,0.116,0.343
3,7632,0.034,0.003,0.25,0.254,0.482,0.188,0.255,0.259,0.388,0.121,0.188
3,8032,0.035,0.003,0.252,0.253,0.466,0.222,0.252,0.261,0.443,0.134,0.246
3,8432,0.033,0.003,0.257,0.257,0.532,0.23,0.247,0.252,0.468,0.16,0.217
3,8832,0.035,0.002,0.251,0.259,0.446,0.188,0.253,0.259,0.38,0.129,0.179
3,9232,0.032,0.003,0.255,0.256,0.516,0.222,0.251,0.261,0.442,0.127,0.183
3,9632,0.033,0.003,0.249,0.258,0.58,0.32,0.258,0.277,0.658,0.143,0.555
3,10032,0.032,0.003,0.252,0.264,0.56,0.238,0.254,0.266,0.461,0.145,0.223
3,10432,0.032,0.002,0.255,0.287,0.408,0.207,0.253,0.248,0.408,0.115,0.22
3,10832,0.032,0.003,0.251,0.273,0.417,0.2,0.255,0.263,0.402,0.137,0.112
3,11232,0.033,0.003,0.247,0.287,0.538,0.288,0.256,0.261,0.568,0.147,0.467
3,11632,0.036,0.003,0.255,0.281,0.522,0.234,0.253,0.258,0.476,0.128,0.39
3,12032,0.032,0.003,0.248,0.273,0.363,0.2,0.252,0.25,0.382,0.098,0.197
3,12432,0.034,0.003,0.256,0.249,0.51,0.231,0.253,0.271,0.459,0.132,0.273
3,12832,0.032,0.003,0.255,0.247,0.551,0.192,0.252,0.261,0.397,0.154,0.158
3,13232,0.032,0.003,0.267,0.24,0.422,0.24,0.262,0.262,0.489,0.112,0.265
3,13632,0.033,0.003,0.254,0.236,0.399,0.179,0.255,0.249,0.375,0.112,0.166
3,14032,0.033,0.003,0.248,0.261,0.429,0.173,0.254,0.251,0.37,0.13,0.116
3,14432,0.033,0.003,0.251,0.261,0.532,0.25,0.254,0.253,0.497,0.137,0.288
3,14832,0.032,0.003,0.256,0.252,0.47,0.231,0.252,0.256,0.47,0.112,0.36
3,15232,0.034,0.003,0.253,0.266,0.488,0.241,0.257,0.243,0.471,0.141,0.428
3,15632,0.032,0.003,0.253,0.255,0.471,0.232,0.257,0.243,0.457,0.127,0.311
3,16032,0.032,0.005,0.251,0.261,0.48,0.192,0.255,0.259,0.396,0.12,0.233
3,16432,0.032,0.003,0.243,0.251,0.43,0.199,0.246,0.244,0.4,0.125,0.22
3,16832,0.032,0.003,0.258,0.282,0.521,0.287,0.254,0.252,0.574,0.133,0.398
3,17232,0.033,0.003,0.251,0.271,0.42,0.179,0.248,0.237,0.386,0.113,0.18
3,17632,0.033,0.003,0.257,0.272,0.442,0.2,0.26,0.252,0.408,0.132,0.194
3,18032,0.033,0.003,0.249,0.258,0.433,0.23,0.25,0.25,0.461,0.116,0.214
3,18432,0.033,0.003,0.25,0.274,0.504,0.189,0.251,0.253,0.385,0.151,0.22
3,18832,0.031,0.003,0.251,0.272,0.396,0.236,0.251,0.275,0.481,0.113,0.296
3,19232,0.032,0.003,0.253,0.275,0.42,0.211,0.262,0.279,0.435,0.133,0.258
3,19632,0.033,0.003,0.258,0.281,0.453,0.183,0.254,0.246,0.354,0.116,0.298
3,20032,0.036,0.003,0.254,0.276,0.467,0.225,0.249,0.242,0.462,0.107,0.362
3,20432,0.033,0.003,0.257,0.263,0.372,0.168,0.255,0.262,0.346,0.114,0.215
3,20832,0.031,0.003,0.246,0.259,0.404,0.226,0.255,0.278,0.466,0.112,0.258
3,21232,0.032,0.003,0.248,0.261,0.41,0.188,0.25,0.269,0.378,0.098,0.304
3,21632,0.032,0.004,0.238,0.259,0.558,0.249,0.253,0.28,0.504,0.15,0.223
3,22032,0.032,0.003,0.247,0.266,0.356,0.138,0.256,0.274,0.286,0.084,0.106
3,22432,0.032,0.003,0.254,0.255,0.417,0.188,0.26,0.26,0.377,0.113,0.195
3,22832,0.033,0.003,0.254,0.26,0.48,0.245,0.254,0.24,0.504,0.158,0.257
3,23232,0.032,0.003,0.253,0.256,0.379,0.188,0.25,0.244,0.391,0.112,0.216
3,23632,0.036,0.004,0.261,0.3,0.435,0.216,0.253,0.258,0.441,0.121,0.215
3,24032,0.034,0.003,0.252,0.277,0.437,0.2,0.252,0.251,0.413,0.121,0.234
